N_train,seed,lambda,MAE,RMSE,physics_adherence_MAE
15,3,0.35,0.07643016732947447,0.09334970914872885,0.028917161273657514
15,3,0.5,0.07697353361061215,0.09309213374374879,0.02763082115334168
15,3,0.75,0.0768627173777926,0.09295702240402176,0.02716427137140963
15,3,1.0,0.07846179336365135,0.09422470622337413,0.026563743323097376
15,3,1.5,0.07875025392434681,0.09365089977933166,0.022568102031528356
15,3,2.0,0.0791230165216657,0.09431739299283222,0.023337773964893026
15,4,0.0,0.13805911698975495,0.1892371265205889,0.1398226395988957
15,4,0.02,0.0821226439057778,0.10560712705726871,0.05438031467041578
15,4,0.05,0.07682033146475517,0.0961168161963965,0.036740444409187875
15,4,0.1,0.07667477609828831,0.0939721765204741,0.03026210706939731
15,4,0.2,0.07875764039579533,0.09485551719793237,0.02504069471813656
15,4,0.35,0.08167795383346181,0.09728046127006942,0.022204142328712918
15,4,0.5,0.0814218260860114,0.0965371853827478,0.0209960785492635
15,4,0.75,0.08213855192977813,0.09677008494693302,0.02055391335800932
15,4,1.0,0.08246485882681392,0.09690744590692399,0.018892964590328326
15,4,1.5,0.082354963424958,0.09649845627884673,0.01826564472140128
15,4,2.0,0.08178917519632613,0.09572721555490712,0.01704481914109563
15,5,0.0,0.15047886407696132,0.1947321033223915,0.12717182868674842
15,5,0.02,0.07718991157416263,0.0984128354670606,0.049141155093813504
15,5,0.05,0.08222147794730375,0.10026077821511757,0.03812924917731673
15,5,0.1,0.07936761357179431,0.09682436129933067,0.03180859277329549
15,5,0.2,0.08322467012097057,0.10019411434467704,0.026628347284924074
15,5,0.35,0.08451641338342847,0.10032795738963857,0.02599067072365773
15,5,0.5,0.08495640875164089,0.09971029064201291,0.024935354946125542
15,5,0.75,0.08214810791632532,0.0971337204555228,0.023946699903596005
15,5,1.0,0.08264836771155439,0.0978453697215612,0.021690100740367892
15,5,1.5,0.08370805251163851,0.09887963354325155,0.01887902309273969
15,5,2.0,0.08376068973688543,0.09889210412717205,0.018321281668439545
15,6,0.0,0.11728339838751756,0.1532038282845162,0.10177001910911698
15,6,0.02,0.07352710412660686,0.0932357179827348,0.04280020571183494
15,6,0.05,0.07574277384543399,0.09176814248289357,0.03163319490654229
15,6,0.1,0.07728678876354392,0.09260237688727216,0.027701906632975143
15,6,0.2,0.07885027474066865,0.09373362233011384,0.023708477926883777
15,6,0.35,0.08099723949382209,0.09554494941709249,0.023336676952896998
15,6,0.5,0.08218063951275631,0.09679669513813907,0.02377251126099841
15,6,0.75,0.08276679508648904,0.09749529585601142,0.020898103001177875
15,6,1.0,0.0819702081924072,0.09667232855954894,0.02136273775207508
15,6,1.5,0.08236630809470011,0.09671114468893863,0.020511367011874615
15,6,2.0,0.08264340169983125,0.097279306664256,0.019984320472825178
15,7,0.0,0.14898816895904982,0.1876684605903386,0.14457687700291083
15,7,0.02,0.07657310037462178,0.0960077428442443,0.05257887444750667
15,7,0.05,0.0762572827343245,0.0946100833313664,0.042326295783602495
15,7,0.1,0.07748961686731459,0.09552182406714349,0.035963177207786926
15,7,0.2,0.07822002959948489,0.09549000165078685,0.03149532048186515
15,7,0.35,0.07902270734820142,0.09618391159695405,0.02744743353342302
15,7,0.5,0.07894562695883116,0.09548252786605704,0.02487153504760414
15,7,0.75,0.07776444529600202,0.09475397753519678,0.02423380914906594
15,7,1.0,0.08238111747584219,0.09897328479620743,0.024102659335654572
15,7,1.5,0.07957373050493624,0.09533201112037308,0.02084382179097891
15,7,2.0,0.08067951656250606,0.09679920107583474,0.0216841925554618
100,0,0.0,0.07167872947442197,0.09353564177344925,0.09986717712595564
100,0,0.02,0.06685654546033586,0.08438841403516359,0.07156352804941263
100,0,0.05,0.06917045562276584,0.08716938345335734,0.06407370518600596
