N_train,seed,model,lambda_selected,MAE,RMSE,R2
100,4,PLS,,0.08962546312660642,0.1134581624075381,0.7769942015836395
100,4,Standard_MLP,,0.07670232978988015,0.10111302757825752,0.8228835521900545
100,4,PGNN,0.2,0.0738717642731639,0.09453944155042734,0.8451644326492932
100,5,PLS,,0.08916143812536832,0.11411816431966985,0.7743921437699718
100,5,Standard_MLP,,0.08895073500557213,0.11558671905915865,0.7685482134096258
100,5,PGNN,0.2,0.07335238064160464,0.09590015454527921,0.8406752378751252
100,6,PLS,,0.09394581470829902,0.11964610536554085,0.7520056438236056
100,6,Standard_MLP,,0.07179474504703919,0.09508829255207242,0.8433614108341112
100,6,PGNN,0.1,0.06681575883968643,0.0851017044513476,0.8745354071949296
100,7,PLS,,0.09461823156347549,0.12279148400788195,0.7387951955400418
100,7,Standard_MLP,,0.07700679428663895,0.1012359022382779,0.8224528194282946
100,7,PGNN,0.2,0.07013022635325564,0.09018305148531236,0.8591053452607507
100,8,PLS,,0.08801396939577721,0.11513630938898511,0.7703485069133656
100,8,Standard_MLP,,0.07287905744420961,0.09692898078954706,0.83723839757198
100,8,PGNN,0.1,0.06438566366778886,0.0830690579493446,0.8804572519058966
100,9,PLS,,0.09376335942286315,0.12418306224867537,0.7328412550407346
100,9,Standard_MLP,,0.07533095038749643,0.09911045122833119,0.8298297756487667
100,9,PGNN,0.2,0.07047559015053916,0.09064597194576277,0.8576551743877789
100,10,PLS,,0.08649587702490592,0.11423748601110602,0.7739201070023654
100,10,Standard_MLP,,0.0850272542037111,0.11188561409961681,0.7831331534555108
100,10,PGNN,0.35,0.07785798868507626,0.09891459521811595,0.8305016710857862
100,11,PLS,,0.07369718687470868,0.09905958467035028,0.8300044041005448
100,11,Standard_MLP,,0.07384492559481211,0.0989409146207231,0.8304114581448383
100,11,PGNN,0.5,0.07352780506947183,0.09478773236589601,0.8443500692027153
160,0,PLS,,0.09488350986670138,0.13143575381223974,0.7007241278070149
160,0,Standard_MLP,,0.07156644527304029,0.09383008588230356,0.8474792640035677
160,0,PGNN,0.05,0.06023135193514301,0.07972664459292646,0.8898836930226712
160,1,PLS,,0.08433733923213683,0.10953466752934936,0.7921510411516463
160,1,Standard_MLP,,0.08374957989017026,0.1096848785465084,0.7915805804578724
160,1,PGNN,0.1,0.060296468050048145,0.07980579166624364,0.8896649528642254
160,2,PLS,,0.08817641885254507,0.11866457532480672,0.756057852181388
160,2,Standard_MLP,,0.08253650393144749,0.11277586927807008,0.7796682766698189
160,2,PGNN,0.1,0.06545686902175117,0.08464369934273772,0.8758822379050646
160,3,PLS,,0.08809513298365872,0.11210112288466866,0.7822969115129608
160,3,Standard_MLP,,0.08539280276773523,0.11479395989097693,0.7717121807492003
160,3,PGNN,0.5,0.06675054510046623,0.08591863609648157,0.8721150573153765
160,4,PLS,,0.08834726338894729,0.11492848764641526,0.7711768033969264
160,4,Standard_MLP,,0.07303041085409114,0.09393387840531003,0.8471416480350522
160,4,PGNN,0.2,0.06234284436450206,0.08201730089654509,0.883465206570969
160,5,PLS,,0.08709179546748666,0.11428803895120415,0.7737199707336687
160,5,Standard_MLP,,0.07258362450392342,0.09874635618591142,0.8310777637001145
160,5,PGNN,0.2,0.06455687666863555,0.0845520484218589,0.8761508780677205
160,6,PLS,,0.08593133916873646,0.11275916110365436,0.7797335578010387
160,6,Standard_MLP,,0.07659873734832112,0.0994202545263736,0.8287642635440202
160,6,PGNN,0.5,0.067611476004886,0.08731019831479923,0.8679389901330488
160,7,PLS,,0.08331187503517988,0.1131429012605405,0.7782317923489046
160,7,Standard_MLP,,0.07652236971240557,0.09896334643246965,0.8303345514475412
160,7,PGNN,0.35,0.07025205392510707,0.08835262480405733,0.8647667214667838
160,8,PLS,,0.08888181660925099,0.11927649632983865,0.7535354784256036
160,8,Standard_MLP,,0.08030769472502179,0.10168687122644034,0.820867480471235
160,8,PGNN,0.2,0.06906360603370394,0.08823261457944818,0.8651338493004639
160,9,PLS,,0.08898026346886077,0.11875881374899666,0.7556702411040197
160,9,Standard_MLP,,0.0772022967552368,0.10060245994279711,0.8246677261254167
160,9,PGNN,0.35,0.06699159857188029,0.08592265764354914,0.872103085352697
160,10,PLS,,0.0808418833177732,0.10488793065598527,0.8094119357074745
